dataset,model1,model2,sig_val,p_val,better_model,better_f1,worse_model,worse_f1
musique,optb-lora,optb-adapter,,0.451,optb-lora,41.01,optb-adapter,40.86
musique,optb-plain,optb-adapter,***,0.0,optb-plain,58.96,optb-adapter,40.86
musique,optl-adapter,bertbc-adapter,*,0.043,optl-adapter,46.71,bertbc-adapter,41.2
musique,optl-adapter,bertbc-lora,***,0.0,optl-adapter,46.71,bertbc-lora,12.85
musique,optl-adapter,bertbc-plain,,0.127,bertbc-plain,50.18,optl-adapter,46.71
musique,optl-adapter,bertlc-adapter,,0.117,bertlc-adapter,50.25,optl-adapter,46.71
musique,optl-adapter,bertlc-lora,**,0.003,optl-adapter,46.71,bertlc-lora,37.04
musique,optl-adapter,bertlc-plain,***,0.0,bertlc-plain,62.24,optl-adapter,46.71
musique,optl-adapter,optb-adapter,**,0.006,optl-adapter,47.0,optb-adapter,40.86
musique,optl-adapter,optb-lora,*,0.012,optl-adapter,47.0,optb-lora,41.01
musique,optl-adapter,optb-plain,***,0.0,optb-plain,58.96,optl-adapter,47.0
musique,optl-lora,optb-adapter,*,0.031,optl-lora,45.6,optb-adapter,40.86
musique,optl-lora,optl-adapter,,0.24,optl-adapter,47.0,optl-lora,45.6
musique,optl-plain,optb-adapter,***,0.0,optl-plain,68.71,optb-adapter,40.86
musique,optl-plain,optl-adapter,***,0.0,optl-plain,68.71,optl-adapter,47.0
musique,rb-adapter,optb-adapter,**,0.001,rb-adapter,51.49,optb-adapter,40.86
musique,rb-adapter,optl-adapter,,0.06,rb-adapter,51.49,optl-adapter,47.0
musique,rb-lora,optb-adapter,*,0.011,rb-lora,47.26,optb-adapter,40.86
musique,rb-lora,optl-adapter,,0.425,rb-lora,47.26,optl-adapter,47.0
musique,rb-plain,optb-adapter,***,0.0,rb-plain,61.45,optb-adapter,40.86
musique,rb-plain,optl-adapter,***,0.0,rb-plain,61.45,optl-adapter,47.0
musique,rl-adapter,optb-adapter,***,0.0,rl-adapter,65.51,optb-adapter,40.86
musique,rl-adapter,optl-adapter,***,0.0,rl-adapter,65.51,optl-adapter,47.0
musique,rl-lora,optb-adapter,***,0.0,rl-lora,57.81,optb-adapter,40.86
musique,rl-lora,optl-adapter,***,0.0,rl-lora,57.81,optl-adapter,47.0
musique,rl-plain,optb-adapter,***,0.0,rl-plain,74.61,optb-adapter,40.86
musique,rl-plain,optl-adapter,***,0.0,rl-plain,74.61,optl-adapter,47.0
musique,t5b-adapter,optb-adapter,***,0.0,t5b-adapter,61.07,optb-adapter,40.01
musique,t5b-adapter,optl-adapter,***,0.0,t5b-adapter,61.07,optl-adapter,46.55
musique,t5b-lora,optb-adapter,***,0.0,t5b-lora,57.83,optb-adapter,40.01
musique,t5b-lora,optl-adapter,***,0.0,t5b-lora,57.83,optl-adapter,46.55
musique,t5b-plain,optb-adapter,***,0.0,t5b-plain,63.97,optb-adapter,40.01
musique,t5b-plain,optl-adapter,***,0.0,t5b-plain,63.97,optl-adapter,46.55
musique,t5l-adapter,optb-adapter,***,0.0,t5l-adapter,69.86,optb-adapter,40.01
musique,t5l-adapter,optl-adapter,***,0.0,t5l-adapter,69.86,optl-adapter,46.55
musique,t5l-lora,optb-adapter,***,0.0,t5l-lora,68.37,optb-adapter,40.01
musique,t5l-lora,optl-adapter,***,0.0,t5l-lora,68.37,optl-adapter,46.55
musique,t5l-plain,optb-adapter,***,0.0,t5l-plain,73.61,optb-adapter,40.01
musique,t5l-plain,optl-adapter,***,0.0,t5l-plain,73.61,optl-adapter,46.55
newsqa,optb-adapter,bertbc-adapter,,0.052,bertbc-adapter,52.74,optb-adapter,48.44
newsqa,optb-adapter,bertbc-lora,***,0.0,optb-adapter,48.44,bertbc-lora,12.79
newsqa,optb-adapter,bertbc-plain,***,0.0,bertbc-plain,62.18,optb-adapter,48.44
newsqa,optb-adapter,bertlc-adapter,***,0.0,bertlc-adapter,60.12,optb-adapter,48.44
newsqa,optb-adapter,bertlc-lora,**,0.005,optb-adapter,48.44,bertlc-lora,42.19
newsqa,optb-adapter,bertlc-plain,***,0.0,bertlc-plain,65.23,optb-adapter,48.44
newsqa,optb-lora,optb-adapter,,0.314,optb-adapter,48.44,optb-lora,47.54
newsqa,optb-plain,optb-adapter,***,0.0,optb-plain,58.85,optb-adapter,48.44
newsqa,optl-adapter,bertbc-adapter,,0.179,optl-adapter,55.14,bertbc-adapter,52.74
newsqa,optl-adapter,bertbc-lora,***,0.0,optl-adapter,55.14,bertbc-lora,12.79
