NSD,Gen_type,arch,ft,size
-0.2736401137554259,Comp,do,plain,large
-0.2553470344154259,Comp,do,lora,large
-0.2568536763890429,Comp,ed,adapter,large
-0.3771978220332662,Comp,eo,plain,large
-0.3887685277651687,Comp,do,plain,base
-0.4114787129497543,Comp,eo,lora,large
-0.42855632395881355,Comp,eo,adapter,base
-0.38282354363691323,Comp,do,adapter,base
-0.3217916791059058,Comp,ed,adapter,base
-0.3049128856220069,Comp,eo,plain,base
-0.26938173127193965,Comp,eo,lora,large
-0.28748849166198237,Comp,ed,lora,large
-0.26738734420651644,Comp,eo,adapter,large
-0.3873481037924152,Comp,eo,lora,base
-0.30775398616334676,Comp,do,lora,base
-0.20489351068117703,Comp,eo,plain,large
-0.4369851622992715,Comp,eo,adapter,large
-0.4261398108139671,Comp,eo,lora,base
-0.36868042169829407,Comp,do,adapter,large
-0.4117365269461078,Comp,eo,adapter,base
-0.21808905615821714,Comp,ed,plain,large
-0.24250643015521064,Comp,ed,adapter,large
-0.3421536077175503,Comp,ed,lora,base
-0.24198979258328096,Comp,do,lora,large
-0.4283510197798815,Comp,eo,adapter,base
-0.2920602735585279,Comp,ed,plain,base
-0.3359801618626161,Comp,do,adapter,base
-0.3199753092092667,Comp,ed,adapter,base
-0.3405399865138233,Comp,eo,plain,base
-0.2729376048479474,Comp,ed,adapter,large
-0.34733388423599476,Comp,eo,plain,large
-0.41363256535752657,Comp,eo,adapter,base
-0.21662068965517234,Comp,ed,plain,large
-0.2668250243500412,Comp,do,plain,large
-0.3365247332226701,Comp,ed,lora,base
-0.32046999732016396,Comp,ed,adapter,base
-0.421514126423243,Comp,eo,lora,large
-0.43291897908270965,Comp,eo,adapter,base
-0.298052101539742,Comp,ed,plain,base
-0.3614951290684625,Comp,eo,plain,base
-0.2765625728339008,Comp,do,plain,base
-0.27432397868561276,Comp,eo,adapter,large
-0.37656352459016396,Comp,do,lora,base
-0.28269556178724986,Comp,eo,lora,large
-0.4265852047657357,Comp,eo,adapter,large
-0.34378529174818734,Comp,do,adapter,large
-0.058224066458220536,OOD,ed,adapter,large
-0.12472950232256012,OOD,eo,plain,base
-0.1593090757559577,OOD,do,plain,large
-0.10438157614350156,OOD,eo,lora,large
-0.27092791715085435,OOD,do,lora,base
-0.2253285605500201,OOD,do,adapter,large
-0.08407195509702992,OOD,eo,adapter,large
-0.16489974634050092,OOD,eo,adapter,large
-0.32863375117463567,OOD,eo,lora,base
-0.1732102557047382,OOD,eo,lora,base
-0.08111878308889252,OOD,eo,plain,large
-0.09679902997070264,OOD,ed,adapter,base
-0.21626759805673146,OOD,do,plain,base
-0.2280947343889779,OOD,eo,lora,large
-0.05664243547147571,OOD,ed,lora,base
-0.15743659002960936,OOD,eo,plain,large
-0.15565426607847893,OOD,eo,adapter,base
-0.33239922139982186,OOD,do,lora,large
-0.24137838828716965,OOD,eo,adapter,base
-0.3612332332336964,OOD,do,adapter,base
-0.056740284025988796,OOD,ed,lora,base
-0.15721694860116137,OOD,eo,adapter,base
-0.09401952752222097,OOD,ed,plain,base
